epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1164.16,0.49584,0.36817,0.87532,0.79228,0.68719,0.74657,0.6182,0.73318,1.09594,1.04042,0.00021471,0.00021471,0.00021471
90,1177.22,0.49786,0.35729,0.86769,0.75651,0.70973,0.76118,0.63313,0.7382,1.05988,1.04923,0.000198206,0.000198206,0.000198206
91,1191.17,0.43397,0.2942,0.84089,0.71891,0.77527,0.75675,0.62595,0.7383,1.03223,1.05162,0.000181703,0.000181703,0.000181703
92,1204.15,0.42409,0.2776,0.84961,0.75333,0.77479,0.77138,0.63884,0.74021,0.97181,1.05512,0.0001652,0.0001652,0.0001652
93,1217.18,0.42643,0.26733,0.84698,0.71584,0.78284,0.77179,0.64102,0.74066,1.04317,1.04417,0.000148696,0.000148696,0.000148696
94,1230.19,0.41574,0.2654,0.84125,0.73365,0.77381,0.76203,0.63239,0.7347,1.04233,1.04229,0.000132193,0.000132193,0.000132193
95,1243.15,0.40865,0.27911,0.84188,0.72045,0.77648,0.76674,0.63489,0.74819,1.04556,1.05179,0.00011569,0.00011569,0.00011569
96,1256.09,0.40916,0.26712,0.83286,0.74569,0.76777,0.77238,0.64682,0.74992,1.0268,1.06131,9.91865e-05,9.91865e-05,9.91865e-05
97,1269.12,0.40836,0.2583,0.83717,0.73258,0.77507,0.77883,0.65201,0.74908,1.01784,1.05897,8.26832e-05,8.26832e-05,8.26832e-05
98,1282.11,0.41207,0.26295,0.84073,0.72931,0.73128,0.76213,0.63904,0.74381,1.12153,1.05646,6.61799e-05,6.61799e-05,6.61799e-05
99,1295.06,0.39185,0.26352,0.83417,0.71008,0.74686,0.76331,0.64293,0.74222,1.11786,1.0497,4.96766e-05,4.96766e-05,4.96766e-05
100,1308,0.38773,0.25168,0.82142,0.75751,0.72021,0.76747,0.64634,0.74061,1.10155,1.04998,3.31733e-05,3.31733e-05,3.31733e-05
